Year,Month,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2016,8,24,10:34:55,6.8,20.92,94.58,84.1,MYANMAR,5191322,1472034895
2016,8,23,22:37:10,4.5,35.97,69.69,110.2,"HINDU KUSH REGION, AFGHANISTAN",5191290,1471991830
2016,8,23,02:11:13,5.3,23.89,94.69,106.3,MYANMAR-INDIA BORDER REGION,5191201,1471918273
2016,8,19,20:01:26,4.2,37.41,71.8,163.8,AFGHANISTAN-TAJIKISTAN BORD REG.,5190953,1471636886
2016,8,16,22:35:34,4.5,36.47,70.83,151,"HINDU KUSH REGION, AFGHANISTAN",5190659,1471386934
2016,8,14,13:10:14,4.5,34.34,86.2,25.3,XIZANG,5190480,1471180214
2016,8,13,09:46:18,4.2,36.63,70.9,218.9,"HINDU KUSH REGION, AFGHANISTAN",5190396,1471081578
2016,8,12,12:23:22,4.4,34.75,80.41,10,XIZANG,5190349,1471004602
2016,8,12,00:46:24,4.7,34.41,86.29,10,XIZANG,5190297,1470962784
2016,8,11,13:50:56,4.5,37.6,71.7,114.3,AFGHANISTAN-TAJIKISTAN BORD REG.,5190280,1470923456
2016,8,11,01:01:07,4.7,34.44,86.24,31.5,XIZANG,5190204,1470877267
2016,8,10,10:23:42,4.3,34.39,86.18,10,XIZANG,5190138,1470824622
2016,8,10,09:35:35,4.5,34.36,86.15,10,XIZANG,5190136,1470821735
2016,8,10,03:00:30,4.3,34.38,86.14,10,XIZANG,5190105,1470798030
2016,8,8,11:58:07,4,36.42,71.05,147.4,AFGHANISTAN-TAJIKISTAN BORD REG.,5191071,1470657487
2016,8,4,17:20:44,4.4,36.44,70.62,207.9,"HINDU KUSH REGION, AFGHANISTAN",5189751,1470331244
2016,8,4,02:20:06,4.6,35.28,69.19,10,"HINDU KUSH REGION, AFGHANISTAN",5189653,1470277206
2016,8,3,09:38:14,4.5,36.18,70.22,117.2,"HINDU KUSH REGION, AFGHANISTAN",5189594,1470217094
2016,8,1,22:21:47,4.5,36.43,71.09,113.5,AFGHANISTAN-TAJIKISTAN BORD REG.,5189514,1470090107
2016,8,1,10:01:08,5.2,21.29,94.94,128.8,MYANMAR,5189474,1470045668
2016,7,27,12:37:15,4.5,35.98,69.16,109.2,"HINDU KUSH REGION, AFGHANISTAN",5189052,1469623035
2016,7,27,04:20:28,4.9,21.59,94.6,97.5,MYANMAR,5189015,1469593228
2016,7,25,06:36:22,4.2,36.49,70.54,202,"HINDU KUSH REGION, AFGHANISTAN",5188830,1469428582
2016,7,25,03:44:58,4.4,36.69,71.38,178.4,AFGHANISTAN-TAJIKISTAN BORD REG.,5188816,1469418298
2016,7,24,15:33:07,4.4,12.74,93.32,61.3,"ANDAMAN ISLANDS, INDIA",5188779,1469374387
2016,7,21,21:54:03,4.2,37.28,71.89,191.5,AFGHANISTAN-TAJIKISTAN BORD REG.,5189319,1469138043
2016,7,19,20:35:06,4.5,36.03,70.34,102.5,"HINDU KUSH REGION, AFGHANISTAN",5188342,1468960506
2016,7,18,22:41:22,4.1,36.68,71.15,240.6,AFGHANISTAN-TAJIKISTAN BORD REG.,5188265,1468881682
2016,7,17,11:53:57,4.5,31.34,74.44,60.4,INDIA-PAKISTAN BORDER REG.,5188182,1468756437
2016,7,17,03:54:57,4.1,21.43,71.55,10,SOUTHERN INDIA,5188179,1468727697
2016,7,12,09:05:26,4.3,36.58,70.88,220.9,"HINDU KUSH REGION, AFGHANISTAN",5187689,1468314326
2016,7,11,20:23:16,4.1,36.71,71.1,227.1,AFGHANISTAN-TAJIKISTAN BORD REG.,5187702,1468268596
2016,7,11,06:51:26,4.5,36.39,70.43,143.9,"HINDU KUSH REGION, AFGHANISTAN",5187556,1468219886
2016,7,10,10:58:12,4.4,37.04,71.38,106.6,AFGHANISTAN-TAJIKISTAN BORD REG.,5188748,1468148292
2016,7,8,18:37:34,4.2,36.45,71.28,106.8,AFGHANISTAN-TAJIKISTAN BORD REG.,5187350,1468003054
2016,7,7,08:41:38,4.4,36.58,70.7,170.7,"HINDU KUSH REGION, AFGHANISTAN",5187207,1467880898
2016,7,7,03:41:10,4.2,37.15,71.96,197.8,AFGHANISTAN-TAJIKISTAN BORD REG.,5187188,1467862870
2016,7,6,21:03:01,4,36.52,70.36,204.4,"HINDU KUSH REGION, AFGHANISTAN",5188643,1467838981
2016,7,5,09:43:44,4.4,24.81,95.21,98.6,MYANMAR,5187054,1467711824
2016,7,4,12:07:23,4.5,22.41,93.77,37.1,MYANMAR-INDIA BORDER REGION,5188131,1467634043
2016,7,3,11:42:00,4.1,36.29,69.12,158,"HINDU KUSH REGION, AFGHANISTAN",5188113,1467546120
2016,7,3,08:09:06,4.3,37.62,72.11,125.7,TAJIKISTAN,5186902,1467533346
